"CITY","LAT","LNG"
Santiago Espiritu,17.9839,120.7128
Masigun,17.05,121.8333
Masigun,17.0984,121.6846
Almacen,17.2833,121.8
Bannawag,16.5604,121.2126
Buyun,18.2367,121.8478
Calanigan,17.4333,121.7667
San Rafael East,17.4666,121.7555
Nagurayan,18.0439,120.5855
Baniquet,16.75,121.75
Dadap,16.5234,121.2256
Nagbitin,16.6034,121.1576
Dalena,17.4696,121.8387
Fuga Island,18.3141,121.6884
San Rafael,17.1055,121.6127
Bocale,18.2309,121.9156
Turod Sur,16.6702,121.4721
Minanga Norte,17.7604,121.7294
Minanga Norte,18.0952,121.6384
Buag,16.3844,121.1038
Caba,16.7737,121.1579
Nagcampegan,16.9638,121.7933
Cañogan Alto,17.3896,121.7827
Pilig Alto,17.3648,121.794
Agaman,17.991,121.9214
Lungaw,16.7552,120.8057
Matusalem,17.0673,121.5914
San Luis,16.9645,121.8278
Saui,17.4212,121.7253
Cuba,16.5853,120.595
Fugu,17.7383,121.4861
Fugu,17.65,121.6833
Fugu,18.0477,121.6306
Fugu,18.3833,121.5333
Fugu,18.3322,121.5277
Santa Rosa,17.7672,121.7226
San Miguel,17.8417,121.9192
Pilitan,17.2445,121.8271
Garit Sur,16.6543,121.6663
Gayamat,18.1667,120.7333
Laya West,17.4945,121.4578
Asuncion,18.1462,120.5646
Baculongan,16.8,120.8333
Masi,18.2329,121.9034
Masi,18.4626,121.3437
Dipuso,16.9408,122.0275
Tubungan Weste,18.0349,121.6779
Holy Friday,17.05,121.8333
Holy Friday,17.1781,121.6495
Macanaya,18.3447,121.6449
Neinitan,18.0584,120.579
Marobbob,17.8116,121.753
San Isidro,16.5855,121.7065
Aropong Camp Four,16.3117,120.6173
Macalaoat,16.9458,121.6575
Bantug,16.712,121.491
Bantug,17.1191,121.6145
Bantug,16.7381,121.7443
Bantug,16.802,121.5875
San Bernardo,17.4048,121.7515
Baggabag B,16.5059,121.1901
Daragutan East,16.9133,122.024
Pacis,18.25,120.6167
Pila,18.2233,120.5807
Humalaphap,16.9167,121.0667
Babanuang,17.0496,121.6269
Boliwong,16.8201,121.1188
Barayong,17.4673,121.8372
Babaran,16.6774,121.7201
Baraggutan,16.9217,122.0242
Santo Tomas,16.3706,120.5782
Banao,16.9723,120.8763
Bulo,18.2467,121.5523
San Moises,18.15,120.6333
Pangal,17.655,120.6754
Usol,16.5312,121.7554
Marasat Grande,16.8915,121.5799
Fugu-Ammugauan,17.4333,121.7667
Balara,17,121.8667
Bokiawan,16.9007,121.0416
Hacienda San Antonio,17.0667,121.95
Matoya,17,122.0333
Pihao,16.5299,120.6264
District Primero,16.9848,121.8278
San Pedro,18.1001,121.5647
Minante Segundo,16.9022,121.7619
Domolpot,16.5318,120.6361
Muñoz West,17.1602,121.6086
Colonia,18.3425,121.416
Pasñga,18.25,120.6167
Capsan,17.4022,121.8072
Pallao,17.6009,120.7547
Yapdue,16.4368,120.6305
Padangitan,17.6458,120.6521
Cabarvan,16.2977,121.6558
Dayun,17.8408,121.3292
Sinapangan,17.5957,120.6072
Harana,16.947,121.702
Nanaguan,17.1328,121.9406
Bagu,18.4397,121.4731
Bugallon,16.9456,121.8147
Villa Concepcion,17.162,121.6311
San Sebastian,16.7813,121.5726
Guibang,17.0556,121.8559
Saranay,17.9333,121.7667
Igid,18.0448,120.5703
Aruaay,18.1988,120.7276
Napayad,16.378,120.9651
Quimpal,17.5716,120.7461
Cabulalaon,18.2667,120.5833
Tamorong,18.1509,120.5884
Calaoagan Dackel,18.0348,121.735
Naglayaan,18.0653,120.7276
Baltao,18.1033,120.7526
Malvar,16.6905,121.5613
Afusing Norte,17.8607,121.63
Tayaoa,17.6826,120.6711
Osmena,16.5273,121.1774
Bannawag Norte,16.6157,121.5703
Olango,17.2015,121.6317
Malatog,17.1167,121.7
Amgaleyley,16.7165,120.8113
Culior,16.9625,121.8754
Tangid,18.1949,120.5692
Bagalay,17.6245,120.6926
Bayabu I,17.2445,121.844
Aggasian,17.1102,121.9287
Capitan,16.7,121.65
San Esteban,17.771,121.7378
Malabibit,18.2349,121.4496
Nabannagan West,18.0716,121.5363
Annafatan,17.8021,121.6627
Pakias,18.0925,120.7855
Sacritan,17.9212,120.5846
San Francisco,18.25,120.6
Siguiran,18.2167,121.6667
Siguiran,18.4529,121.4156
Barancuag,17.7165,121.4643
Accusilian,17.7479,121.4625
Paniqui,16.6291,121.2152
Betwag,16.5348,120.6138
Davila,18.4726,120.5763
Pidipid,17.6666,120.6628
Cañogan Abajo Sur,17.3936,121.7914
Atelan,16.6706,121.6238
Manokna,16.7144,120.8547
San Sutro,18.1169,120.6499
Binsang,18.2951,120.5946
Balioeg,17.9659,120.6944
Rizal,16.7235,121.556
Marana I,17.1578,121.9211
Asinga-Via,17.8772,121.8968
Bugnay,17.635,121.5353
Alinunu,18.4345,121.4543
Dontoc,16.5913,120.6001
Alannay,18.0611,121.5862
Upper Tucao,16.755,121.0711
Daragutan West,16.9101,122.0084
San Alberto,18.25,120.6333
Bauan,17.7226,121.6803
Bauan,17.8594,121.7051
Tili,16.5035,120.6303
Paddaya,18.3236,121.7387
Buenavista,16.3325,121.6824
Pussian,17.9326,121.694
Dilag,17.4743,121.4893
Bagunsanay,17.9084,120.5675
Ucab,17.4333,120.6833
Calaocan,16.6776,121.5529
Campanario,16.7189,121.7484
Lanas Sur,18.0474,120.7238
Lepanto,16.8675,120.7818
Santa Lina,18.3065,121.3845
Masla,17.0392,120.8243
San Rafael Alto,17.4019,121.7627
Caonayan,16.95,121.7667
Icot,16.5973,120.7048
Dibeet,16.25,121.65
Marco,18.1667,121.5667
Sagneb,18.2,120.5667
Minak,16.6709,120.8436
Cabaritan East,18.4178,121.4887
Ababeng,17.6701,120.6774
Dubaj,16.2826,121.0914
Bato,18.4632,122.1676
Pasil,16.5524,120.6116
Baluarte,16.6657,121.5536
Langbaban,17.462,120.6017
Nakawawan,16.8726,120.8278
Busilelao,16.6896,121.6894
Cakilingan,16.6539,121.4166
Ipil,16.6978,121.6404
Gongunot,17.685,120.681
Mompolia,16.854,121.0973
Bato,16.5772,120.852
Sinamar Sur,16.8351,121.5337
Ababut,18.1712,120.6888
Nargaay,18.2177,120.6537
Binguang,17.4589,121.7952
Patucannay Tayum,17.6019,120.64
Estrada,17.2632,121.5856
Cadaratan,18.2911,120.5979
Bangued,17.6,120.62
Amulung,17.8387,121.7235
Peñablanca,17.6258,121.7853
Lal-lo,18.2,121.6622
Cordon,16.67,121.45
Jones,16.5583,121.7
Angadanan,16.7571,121.7479
Buguias,16.8033,120.8211
Aritao,16.2973,121.0338
Binabano,17,121.9
Narien,16.4261,121.7918
Esperanza West,17.019,121.6789
Taboung,16.3,121.0333
Gabut,16.3047,121.0603
San Roque,18.3432,120.6137
San Roque,18.1741,120.6531
Bagutari,17.3848,121.7953
Salvacion,18.2647,121.3545
Banco,17.3843,121.7704
Alinguigan II,17.1239,121.9118
Batang,16.7012,121.4876
Bunag,16.7167,121.65
Burahit,16.6699,121.553
Taboc,18.1218,120.6346
Acops Place,16.4757,120.6326
Nattanzan,17.7472,121.7371
Lazo,18.25,120.6
Malasin,16.6344,121.2364
Malasin,16.3045,121.1062
Araiat,17.7241,121.6586
Pacso,16.6546,120.8216
Caggay,17.6358,121.7421
Illuro,17.8372,121.3947
Bunugan,17.9558,121.7579
Redondo,17.7266,121.7376
San Luis,16.6498,121.4018
San Luis,16.5434,121.1902
Capaltitan,16.6705,121.5286
Ruyu,17.6167,121.7333
Nangalisan,16.6271,121.209
Sarnap,18.0761,120.5643
Batacbac,16.7759,121.1281
Darapidap,16.3178,121.053
Maddarulug Sur,17.5916,121.6765
Pagbangkeruan,17.8856,121.6827
Kagubatan,16.9465,120.8255
Lantap,16.6273,121.2358
Gagabutan,16.9373,121.7978
Centro Dalena,17.4748,121.8497
Alibagu,17.1004,121.8592
Lollin,17.5762,121.7033
Disimpit,16.5532,121.7195
Camutog,17.0167,121.7
Lawig,16.6553,121.1781
Santa Luciana,16.8907,121.8154
Bugayon,18.1804,120.6588
Bito,17.4328,121.4877
Cabannungan Primero,17.1377,121.8517
Pacac-Pequeño,17.825,121.6643
Papan Este,16.5315,121.8025
Sorcoc,17.5705,120.659
Quibal,17.7159,121.8113
Ineangan,16.3181,121.093
Isit,16.8565,120.8107
Centro Norte,18.2772,121.6739
Centro Norte,17.8929,121.5703
Centro Norte,18.0703,121.6461
San Antonio,16.774,121.6974
San Antonio,17.0961,121.6151
San Antonio,16.7205,121.6999
San Antonio,16.9088,121.6194
San Antonio,17.2733,121.7912
San Antonio,16.866,121.7992
San Antonio,17.0208,121.9621
Mararigue,17.0022,121.6023
Dicawal,16.648,121.4225
Nabannagan East,18.0704,121.5463
Malinta,18.0907,121.6174
Mambabanga,16.9521,121.7108
Taytay,17.9111,121.8731
Acito,17.5896,120.6759
San Benigno,18.2833,120.5833
Loakan,16.3726,120.6128
Santa Asuncion,18.1649,120.5754
Maraburab,17.947,121.6446
Kanapawan,18.3285,121.5337
Sablan,16.4555,120.6427
Anipa,17.0667,121.85
Toon Sur,17.6418,120.6546
Binaratan,18.1702,120.6514
Caroan,18.2682,121.907
Pagala,17.5703,120.7106
Asuacan,17.3333,121.7833
Vira,18.2167,120.5841
Vira,18.1569,120.7242
Vira,18.143,120.5649
Cabaroan,17.6307,120.747
Bugasi,17.993,120.6873
Pinukpuk Junction,17.6153,121.4119
Budac,17.6139,120.6693
Dalit,17.3492,120.5676
Magdalena,16.9522,121.6655
Santa Rita,16.9949,121.6423
Lamo,16.3249,121.1042
Chicao,16.5124,120.6351
Quimmalaba,17.6464,120.7447
Maria Clara,16.6165,121.4885
Baya-an,17.6546,120.7163
Dinwedee East,16.9388,120.7452
Barung,17.7369,121.6556
Murong,16.8539,121.5478
Ambatuan,16.9727,122.0401
Tabug,16.6432,121.5265
San Andres,16.713,121.5547
Nagcorcoran,18.0792,120.574
Malalatan,17.8775,121.6327
Tandul,16.8869,121.64
Daldalayap,16.6356,121.3732
Cataliganan,18.0383,121.6001
Naubigan,16.8866,121.0588
Manayday,17.4728,120.6117
Surcoc,17.0131,121.905
Magoli,17.2802,121.9248
Mabuhay,16.7219,121.718
Baligat,18.0833,120.5667
Lurog,17.014,121.5765
San Juan,17.1311,121.7112
San Juan,16.7209,121.4851
San Juan,17.2939,121.7836
San Juan,16.6361,121.6666
San Juan,16.9937,121.6372
San Juan,16.8585,121.6838
San Juan,17.4134,121.7394
San Juan,17.4841,121.7242
San Juan,17.2099,121.8784
Punti,18.3962,122.1311
Cabanuangan,16.5518,121.7001
Cutug,17,121.7333
Camangaan,18.1847,120.6219
Palawan,16.7304,121.7353
Bugatay,17.6162,121.8133
Tubburan,18.25,120.6167
Patanad,16.7404,121.6564
Mabantad,16.9584,121.7858
Mozzozzin Sur,17.4568,121.7461
Doña Imelda,16.561,121.4911
Fugu Sur,17.3383,121.7791
Fugu Sur,16.7,121.65
Governor Rapids,16.3667,121.7333
Calanga,16.8869,121.0692
Laya,17.4726,121.4678
Macatabang,18.0701,121.6121
Bulbolala,17.6489,120.6657
Asilang,17.6555,121.5952
Bagong Sikat,16.8841,121.8928
Bagong Sikat,16.7983,121.618
Nuestra Señora de la Paz,18.2833,120.6167
Sidiran,18.0968,120.6839
Alilinu,18.2938,121.6638
Binabang,16.9949,121.8874
Bonifacio,16.7862,121.6022
Longa,16.7796,121.081
Naguirayan,17.5651,120.5747
Lagui,18.1993,120.6328
Bubug,17.4333,121.7667
Sampaloc,16.9568,121.6756
Calamagui Second,17.1343,121.87
Batuang,16.3883,120.6426
Panecien,16.9543,121.6187
Cagumitan,17.753,121.4699
Gundaway,16.5167,121.5226
Malamag East,17.3353,121.7921
Namamparan,16.6458,121.3561
Pelio,17.3614,121.7986
Bagnos,17.0071,121.6745
Bagnos,16.8074,121.6278
Nagsangalan,17.6339,120.738
Santa Cruz,18.3994,121.53
Santa Cruz,17.829,121.3316
Santa Cruz,18.338,122.0712
San Fabian,16.7129,121.6812
San Antonio,18.2869,121.4348
Baui,16.7486,121.7661
Kin-iway,17.0981,120.8608
Lutaan,16.5172,120.6319
Liwan,17.8093,121.4426
Bascaran,16.5367,121.2256
Malagnat,17.6309,121.3941
Pacallo,17.435,121.8236
Aquib,17.7969,121.4749
Matiokna,16.7492,120.8446
Luyao,16.9742,121.7339
Buyon,18.235,120.6178
Dipcet,16.295,121.6669
Silang,17.1246,121.8356
Turayong,16.9444,121.7794
Estrella,16.8764,121.5596
Quemoy,17.7449,121.7126
Batangan,18.2833,122.0044
Basao,18.0896,121.6776
U-Gab,16.3921,120.6585
Malaping,17.3091,121.8903
San Felipe,18.1123,120.6432
Upuplig,18.452,120.6162
Batu,17.5454,121.7417
Batu,17.855,121.3517
Nagtalobungan,17.5757,120.6005
Camunatan,17.136,121.8917
Bumabato,16.3272,121.6762
Barcelona,18.1099,120.7583
Tibtibing,17.5425,120.6435
Camambugan,16.6101,121.209
Tuccac,18.2667,121.3667
Paraiso,16.9488,121.6567
San Francisco,16.75,121.75
Ambasa,16.6445,121.1466
Lingaling,17.2807,121.8055
San Juan,16.5673,121.1598
Langgan,18.0435,121.7349
Nagrumbuan,16.8996,121.7097
Villarose,16.5229,121.5147
Banaba,16.8331,120.8287
Puttao,18.0491,120.757
Ganapi,17.2017,121.8652
Alimudong,17.6587,120.6598
Papadog,17.95,120.6333
Cunig,18.0319,121.6892
Sitio Hudi,17.2601,121.799
Lanteng,17.05,121.8333
Magsaysay,17.457,121.4603
Guinamagarua,16.4406,121.6392
San Jose,17.8927,121.8713
San Jose,18.209,121.6632
San Jose,17.55,121.7667
Cagutuñgan,17.4667,120.6
Banganan South,16.3046,121.0509
Magogod,17.8569,121.7543
Bintawan,16.5759,121.1876
Santa Teresa,17.7085,121.7468
Salay-Ot,17.4497,120.6496
Macusi,17.6333,121.8
Toon Norte,17.6505,120.6517
Cadilan,16.6351,121.5605
Kiskis,16.6027,120.72
Macatel,17.8831,121.8803
Mariit,18.0973,120.5738
Poitan,16.9039,121.0808
Badayan,16.7465,120.8558
Silauan Norte,16.7064,121.6807
Rang-ay,16.9236,121.6162
Nagsimbatian,18.0333,121.1833
Dilaping,16.324,121.2967
Nagacadan,16.7833,121.0833
San Mateo,17.2945,121.8047
Cagoran,17.65,121.7167
Cagoran,18.1932,121.6845
Cuay,16.6294,120.8326
Mallig,16.9956,122.0412
Palagao,16.5497,121.7157
Lalauanan,17.2433,121.8427
Quinawegan,18.2628,121.7965
Maxillay,17.3972,121.1805
Duminit,17.9333,121.7667
Santa Barbara,16.9205,122.0241
Gucab,16.7007,121.6802
Guyabal,17.9333,121.7667
Union,16.9627,121.817
Union,17.1208,121.7696
Alabiao,17.7461,121.481
Villa Luna,16.9511,121.8116
San Placido,17.1439,121.5957
Parparoroc,18.2299,120.675
Dilanis,18.3066,120.6345
Lallayug,17.7068,121.4417
Consular,16.7817,121.7567
Parut,18.2168,120.6387
Daan-lli,18.2332,121.5567
Aquiliquilao,17.75,121.7333
Bagumbayan,17.7227,121.4469
Bagumbayan,18.1939,121.663
Nagbacalan,16.8025,121.5752
Mererao,17.1333,121.8
Cato,17.7367,121.4481
Minanga,18.3525,121.6399
Minanga,18.2722,121.8883
Minanga,18.2821,121.9863
Minanga,18.3507,122.0827
Minanga,18.2731,121.7236
Minanga,18.4715,121.4163
Minanga,17.8336,121.4938
L. Adviento,18.0764,121.6499
Naguilian Norte,17.1687,121.8672
Simpatuyo,18.2549,121.8931
San Julian,17.4898,121.4856
Salvacion,16.81,121.6674
Nagcuartelan,16.2757,121.0215
Legleg,17.1367,120.6783
Cabittaogan,18.2833,121.8833
Dummun,18.0376,121.6448
Patpat,16.8658,120.7949
Sidiran,17.8849,121.5822
Calaoagan Bassit,18.0341,121.6849
Pat-tiao,17.5667,120.65
Lapogan,17.2075,121.8419
Jurisdiction,17.8814,121.6883
Jurisdiction,18.2342,121.6788
Rizal East,16.7346,121.6267
Sadang,16.7036,121.5113
Aggungan,18.2457,121.8137
Topside,16.4218,120.6344
Allinguigan First,17.1245,121.9303
Malasin,16.5262,121.5801
Ziminila,18.2651,121.7253
Minabang,17.186,121.938
Mingang,17.5667,120.5833
Camarao,17.45,121.4833
Bagbag,18.1277,120.7387
Bannuag,16.5691,121.5901
Santa Felicitas,17.9081,121.58
Alinguigan III,17.1224,121.9162
Antagan,17.4445,121.8158
Padong,18.0543,120.7543
Poistuan,16.555,120.6171
Cago,16.9275,121.6181
Aimbasin,17.0722,120.899
Palao,17.5628,120.6089
Velasco,17.5892,120.671
Marasat Pequeño,16.9082,121.6137
Naddungan,18.0656,121.7448
Lobo,16.2927,121.0038
Nalen,18.0846,120.6237
Babaculen,18.0783,120.6003
Calading,17.6605,120.7163
Baranio,18.25,120.6
Pawa,18.1289,120.6253
Kimmaligong,16.5698,121.5149
Disiluad,16.4512,121.6421
Linao,17.6568,121.7261
Linao,18.3714,121.6009
Songsong,17.0726,121.8546
Atayao,17.6237,121.6437
Capenikian,17.1626,121.5671
Balete,16.6322,121.3564
Balisi,17.7252,121.6921
